,Phrase,Review,Count
558,assassin creed fashion,Movies Games and Tech,1
559,always fast travel,ButWhyTho,1
560,always fast travel,Digital Trends,1
561,place refill supply,ButWhyTho,1
562,place refill supply,Gamereactor,1
563,creed shadow take,ButWhyTho,1
564,creed shadow take,CNET,1
565,creed shadow take,DigitalSpy,1
566,creed shadow take,Finger Guns,1
567,creed shadow take,GameRant,1
568,creed shadow take,HardcoreGamer,1
569,creed shadow take,IGN,1
570,creed shadow take,Polygon,1
571,creed shadow take,TheGamer,1
572,creed shadow take,ZTGD,1
573,creed shadow feature,ButWhyTho,1
574,creed shadow feature,Dexerto,1
575,creed shadow feature,Game8,1
576,creed shadow feature,GameRant,1
577,creed shadow feature,GameSpew,1
578,creed shadow feature,ScreenRant,1
579,reach objective marker,ButWhyTho,1
580,reach objective marker,GameRant,1
581,want get stick,ButWhyTho,1
582,want get stick,GamingBible,1
583,long wind road,ButWhyTho,1
584,long wind road,Checkpoint,1
585,previous game make,ButWhyTho,1
586,previous game make,PlayStation Universe,1
587,time feel like,ButWhyTho,1
588,time feel like,Siliconera,1
589,worth assassin creed,ButWhyTho,1
590,worth assassin creed,Hey Poor Player,1
591,worth assassin creed,TheSixthAxis,1
592,home base hideout,ButWhyTho,1
593,home base hideout,PlayStation Universe,1
594,fully customizable hideout,ButWhyTho,1
595,fully customizable hideout,HardcoreGamer,1
596,in game season,ButWhyTho,1
597,in game season,GameSpot,1
598,in game season,TheGamer,1
599,in game season,VG247,1
600,season season change,ButWhyTho,1
601,season season change,XboxEra,1
602,season change certain,ButWhyTho,1
603,season change certain,GameGrin,1
604,character naoe yasuke,ButWhyTho,1
605,character naoe yasuke,GamesHub,1
606,character naoe yasuke,PlayStation Universe,1
607,character naoe yasuke,wccftech,1
608,naoe yasuke like,ButWhyTho,1
609,naoe yasuke like,Dexerto,1
610,naoe yasuke like,VG247,1
611,upgrade weapon armor,ButWhyTho,1
612,upgrade weapon armor,gamepressure,1
613,upgrade weapon armor,Shacknews,1
614,spend time customize,ButWhyTho,1
615,spend time customize,TheEscapist,1
616,time customize hideout,ButWhyTho,1
617,time customize hideout,TheEscapist,1
618,fun play even,ButWhyTho,1
619,fun play even,Inverse,1
620,creed shadow enjoyable,ButWhyTho,1
621,creed shadow enjoyable,wccftech,1
622,play assassin creed,ButWhyTho,1
623,play assassin creed,CNET,1
624,play assassin creed,digitalchumps,1
625,play assassin creed,Eurogamer,1
626,play assassin creed,Game Informer,1
627,play assassin creed,Game8,1
628,play assassin creed,gamepressure,2
629,play assassin creed,Gamer Escape,1
630,play assassin creed,GameSpew,1
631,play assassin creed,GameSpot,1
632,play assassin creed,HardcoreGamer,1
633,play assassin creed,Hey Poor Player,1
634,play assassin creed,Kotaku,1
635,play assassin creed,Metro News,1
636,play assassin creed,Order of the Template,1
637,play assassin creed,Ragequit,1
638,play assassin creed,ScreenRant,1
639,play assassin creed,Softpedia,1
640,play assassin creed,TechRadar,4
641,play assassin creed,Twinfinite,1
642,creed shadow really,ButWhyTho,1
643,creed shadow really,Gamer Escape,1
644,creed shadow really,Radio Times,1
645,world rpg assassin,ButWhyTho,1
646,world rpg assassin,Kotaku,1
647,world rpg assassin,Push Square,1
648,rpg assassin creed,ButWhyTho,1
649,rpg assassin creed,Finger Guns,1
650,rpg assassin creed,Kotaku,2
651,rpg assassin creed,PlayStation Universe,2
652,rpg assassin creed,Push Square,1
653,rpg assassin creed,RPGFan,1
654,creed game yet,ButWhyTho,1
655,creed game yet,Digital Trends,1
656,creed game yet,GameSpew,1
657,creed game yet,nme,1
658,creed game yet,PlayStation Universe,1
659,creed game yet,Siliconera,1
660,much variety gameplay,ButWhyTho,1
661,much variety gameplay,Xbox Tavern,1
662,provide assassin creed,ButWhyTho,1
663,provide assassin creed,Gaming Age,1
664,creed shadow available,ButWhyTho,1
665,creed shadow available,PlayStation Universe,1
666,assassin creed shadow review,ButWhyTho,1
667,assassin creed shadow review,Checkpoint,1
668,assassin creed shadow review,COG,1
669,assassin creed shadow review,ComicBook,1
670,assassin creed shadow review,Creative Bloq,2
